iter	Passed	Remaining
0	146	146546
1	147	73753
2	148	49396
3	149	37155
4	150	29853
5	151	25127
6	152	21603
7	152	18964
8	156	17242
9	157	15580
10	157	14204
11	158	13063
12	159	12095
13	159	11264
14	160	10541
15	161	9912
16	161	9362
17	162	8864
18	163	8421
19	163	8022
20	164	7686
21	165	7359
22	166	7059
23	166	6785
24	167	6531
25	169	6355
26	170	6150
27	171	5945
28	171	5752
29	172	5572
30	173	5408
31	173	5256
32	174	5111
33	174	4971
34	175	4840
35	176	4714
36	176	4597
37	177	4485
38	177	4379
39	178	4278
40	178	4182
41	179	4091
42	179	4004
43	180	3921
44	181	3841
45	181	3765
46	182	3704
47	183	3636
48	184	3573
49	184	3509
50	185	3449
51	185	3390
52	186	3335
53	187	3280
54	187	3227
55	188	3179
56	189	3131
57	189	3084
58	190	3043
59	191	3006
60	192	2963
61	193	2920
62	193	2878
63	194	2839
64	195	2805
65	195	2768
66	196	2739
67	198	2713
68	198	2680
69	199	2648
70	199	2615
71	200	2583
72	200	2552
73	201	2521
74	202	2492
75	202	2466
76	203	2440
77	204	2414
78	204	2388
79	205	2361
80	205	2336
81	206	2312
82	206	2285
83	207	2262
84	207	2238
85	208	2215
86	209	2193
87	209	2171
88	210	2150
89	210	2129
90	211	2112
91	212	2095
92	212	2075
93	213	2056
94	213	2037
95	214	2019
96	215	2001
97	215	1983
98	216	1966
99	216	1949
100	217	1935
101	218	1922
102	219	1910
103	220	1895
104	220	1880
105	221	1864
106	221	1849
107	222	1834
108	222	1820
109	223	1806
110	223	1792
111	224	1778
112	224	1764
113	225	1751
114	226	1740
115	226	1728
116	227	1715
117	227	1702
118	228	1690
119	228	1678
120	229	1666
121	229	1654
122	230	1643
123	230	1631
124	231	1620
125	232	1609
126	232	1597
127	233	1587
128	233	1577
129	234	1567
130	234	1557
131	235	1547
132	235	1537
133	236	1527
134	236	1517
135	237	1507
136	237	1498
137	238	1489
138	238	1480
139	239	1471
140	240	1462
141	240	1453
142	241	1445
143	241	1438
144	242	1430
145	243	1422
146	243	1414
147	244	1407
148	245	1399
149	245	1391
150	246	1383
151	246	1376
152	247	1370
153	248	1363
154	248	1355
155	249	1348
156	249	1341
157	250	1334
158	251	1327
159	251	1320
160	251	1313
161	252	1306
162	253	1299
163	253	1293
164	254	1286
165	254	1280
166	255	1274
167	256	1269
168	257	1264
169	257	1258
170	258	1252
171	258	1246
172	259	1240
173	260	1234
174	260	1229
175	261	1223
176	261	1217
177	262	1213
178	263	1208
179	264	1202
180	264	1197
181	265	1192
182	265	1186
183	266	1181
184	267	1176
185	267	1171
186	268	1165
187	268	1160
188	269	1155
189	269	1150
190	270	1145
191	271	1144
192	272	1140
193	273	1135
194	273	1131
195	274	1126
196	275	1121
197	275	1116
198	276	1111
199	276	1107
200	277	1103
201	278	1099
202	278	1094
203	279	1090
204	280	1086
205	280	1081
206	281	1077
207	281	1072
208	282	1068
209	282	1064
210	283	1059
211	284	1055
212	284	1051
213	285	1047
214	285	1043
215	286	1039
216	286	1035
217	287	1031
218	288	1027
219	288	1023
220	289	1019
221	289	1015
222	290	1011
223	290	1007
224	291	1003
225	292	1000
226	292	996
227	293	993
228	293	989
229	294	986
230	295	982
231	295	979
232	296	975
233	296	971
234	297	967
235	297	964
236	298	960
237	298	957
238	299	953
239	299	949
240	300	946
241	301	944
242	302	940
243	302	937
244	303	934
245	303	930
246	304	927
247	304	923
248	305	920
249	305	917
250	306	913
251	306	910
252	307	907
253	307	904
254	308	901
255	309	898
256	310	896
257	310	893
258	311	890
259	311	887
260	312	884
261	312	881
262	313	877
263	313	874
264	314	871
265	314	868
266	315	865
267	316	863
268	317	861
269	317	858
270	318	856
271	318	853
272	319	850
273	320	848
274	320	845
275	321	843
276	322	840
277	322	838
278	323	835
279	323	832
280	324	829
281	324	827
282	325	824
283	325	821
284	326	818
285	326	816
286	327	813
287	327	810
288	328	808
289	329	805
290	329	803
291	330	802
292	331	800
293	332	797
294	332	795
295	333	792
296	333	790
297	334	787
298	334	785
299	335	782
300	335	780
301	336	777
302	337	775
303	337	773
304	338	770
305	338	768
306	339	765
307	339	763
308	340	761
309	340	758
310	341	756
311	341	753
312	342	751
313	342	749
314	343	746
315	344	745
316	344	742
317	345	740
318	346	738
319	346	736
320	347	734
321	347	732
322	348	730
323	349	728
324	349	725
325	350	723
326	350	721
327	351	719
328	351	717
329	352	715
330	353	713
331	353	711
332	354	709
333	354	707
334	355	705
335	356	704
336	357	702
337	357	700
338	358	698
339	358	696
340	359	694
341	360	692
342	360	691
343	361	689
344	362	687
345	363	686
346	364	685
347	364	683
348	365	681
349	366	680
350	367	679
351	368	678
352	368	676
353	369	674
354	370	672
355	370	670
356	371	668
357	371	666
358	372	665
359	373	663
360	373	661
361	374	659
362	374	657
363	375	656
364	376	655
365	378	654
366	378	653
367	379	651
368	379	649
369	380	648
370	381	646
371	381	644
372	382	643
373	383	641
374	383	639
375	384	637
376	384	635
377	385	633
378	385	632
379	386	630
380	386	628
381	387	626
382	387	624
383	388	623
384	389	621
385	389	619
386	390	618
387	391	617
388	392	616
389	392	614
390	393	613
391	394	611
392	394	609
393	395	608
394	396	607
395	396	605
396	397	603
397	398	602
398	398	600
399	399	598
400	399	597
401	400	595
402	400	593
403	401	592
404	402	590
405	402	589
406	403	587
407	403	586
408	404	584
409	405	582
410	405	581
411	406	580
412	407	579
413	408	578
414	409	577
415	410	575
416	410	574
417	411	572
418	411	571
419	412	569
420	413	568
421	413	566
422	414	565
423	414	563
424	415	561
425	415	560
426	416	558
427	416	557
428	417	555
429	418	554
430	418	552
431	419	551
432	419	549
433	421	550
434	422	548
435	423	547
436	424	546
437	424	545
438	425	543
439	426	542
440	427	541
441	427	540
442	428	538
443	429	537
444	429	536
445	430	534
446	430	533
447	431	531
448	432	530
449	432	528
450	433	527
451	433	526
452	434	524
453	435	523
454	436	522
455	437	521
456	437	519
457	438	518
458	438	517
459	439	515
460	439	514
461	440	512
462	441	511
463	441	510
464	442	509
465	443	508
466	444	506
467	445	505
468	445	504
469	446	503
470	446	502
471	447	500
472	448	499
473	448	497
474	449	496
475	450	496
476	451	495
477	452	493
478	452	492
479	453	491
480	454	490
481	454	488
482	455	487
483	455	486
484	456	484
485	457	483
486	458	482
487	458	481
488	459	480
489	460	479
490	461	477
491	461	476
492	462	475
493	463	474
494	463	472
495	464	471
496	464	470
497	466	470
498	467	469
499	467	467
500	468	466
501	468	465
502	469	463
503	470	462
504	470	461
505	471	459
506	471	458
507	472	457
508	472	456
509	473	454
510	474	453
511	474	452
512	475	451
513	475	449
514	476	448
515	476	447
516	477	446
517	477	444
518	478	443
519	478	442
520	479	440
521	480	440
522	481	439
523	482	438
524	482	436
525	483	435
526	483	434
527	484	433
528	485	432
529	486	431
530	486	430
531	487	428
532	488	427
